,GMV,Equal Weight,Max Sharpe
Food,3.893559711137967e-18,0.03333333333333333,3.182840827627475e-16
Beer,0.0487499902032717,0.03333333333333333,0.036778790547791027
Smoke,0.0,0.03333333333333333,0.0
Games,7.125208708486265e-18,0.03333333333333333,0.06107614673945878
Books,0.26526631330299283,0.03333333333333333,0.07605996211220223
Hshld,0.27092466063946874,0.03333333333333333,0.22582136473966397
Clths,3.2774433734980044e-18,0.03333333333333333,0.10931288807536206
Hlth,1.6569047035735659e-18,0.03333333333333333,0.0
Chems,0.0,0.03333333333333333,9.782697770974284e-17
Txtls,0.06659935875360808,0.03333333333333333,0.0
Cnstr,7.798269421844216e-18,0.03333333333333333,0.0
Steel,0.0,0.03333333333333333,0.19614548758292633
FabPr,0.0,0.03333333333333333,3.7766261096235285e-17
ElcEq,9.754960985796604e-19,0.03333333333333333,0.0
Autos,0.0,0.03333333333333333,3.870307759273992e-17
Carry,0.023688141983590514,0.03333333333333333,1.4635520392264256e-16
Mines,0.0,0.03333333333333333,3.9163396803577646e-17
Coal,0.1287273147694548,0.03333333333333333,0.12596613790767175
Oil,6.990622201514374e-18,0.03333333333333333,0.04591392989251616
Util,5.085883388102056e-18,0.03333333333333333,0.0
Telcm,2.452927852788485e-18,0.03333333333333333,0.06668352925775137
Servs,0.19604422034761326,0.03333333333333333,0.0
BusEq,4.952388351093057e-19,0.03333333333333333,3.738796659145543e-17
Paper,0.0,0.03333333333333333,0.0
Trans,9.032436892826199e-18,0.03333333333333333,0.03317501403983271
Whlsl,3.362097320683347e-18,0.03333333333333333,3.25457110564792e-17
Rtail,0.0,0.03333333333333333,0.023066749104822763
Meals,5.941842903163393e-18,0.03333333333333333,0.0
Fin,0.0,0.03333333333333333,0.0
Other,0.0,0.03333333333333333,5.21105306207683e-17
